[[177, 148, 178, 234, 73, 157, 175, 146, 174, 190]
[265, 196, 213, 252, 121, 191, 227, 193, 175, 214]
[258, 220, 216, 309, 125, 190, 233, 213, 231, 250]
[227, 289, 238, 326, 206, 233, 236, 207, 260, 272]
[215, 257, 195, 219, 163, 209, 238, 211, 219, 211]
[200, 219, 200, 250, 128, 196, 206, 151, 198, 228]
[181, 188, 194, 233, 163, 121, 229, 97, 203, 189]
[219, 187, 176, 203, 147, 163, 220, 168, 184, 172]
[163, 178, 173, 188, 160, 142, 207, 156, 225, 153]
[116, 183, 107, 179, 112, 133, 135, 144, 142, 177]]
