[[126, 216, 127, 187, 207, 189, 196, 181, 188, 197]
[204, 176, 189, 222, 217, 184, 220, 145, 178, 167]
[217, 211, 173, 264, 148, 200, 194, 201, 187, 224]
[200, 222, 197, 229, 153, 181, 194, 165, 193, 189]
[177, 205, 175, 215, 101, 164, 182, 154, 201, 197]
[140, 240, 122, 223, 113, 187, 156, 216, 201, 234]
[165, 171, 160, 183, 73, 130, 163, 125, 157, 173]
[181, 201, 178, 251, 238, 173, 207, 144, 195, 189]
[75, 173, 90, 119, 154, 136, 108, 117, 128, 131]
[165, 195, 171, 191, 168, 165, 188, 145, 173, 174]]
